Timestamp,What is your age?,What is your current grade level?,What is your gender?,"About how many writing assignments (paragraphs, essays, or written projects) do you complete for school in a typical week?","At your school, using AI tools for writing assignments is:","Compared to other students in my grade, I think my writing skills are:","I use AI tools (such as ChatGPT, Grammarly, or Gemini) to brainstorm ideas for my school writing.","I use AI tools to help me draft or write full sentences and paragraphs for my assignments.
","I use AI tools to edit or proofread my writing (for example, to fix grammar or wording).
","I use AI tools when I am stuck and do not know how to continue my writing.
","Overall, I rely on AI tools when completing my writing assignments.
","My writing feels creative and original when I work on school assignments.
","Using AI tools helps me come up with new ideas for my writing.
","When I use AI tools, my writing feels more creative than when I do not use them.
","I feel confident in my own ability to generate creative ideas for writing, even without AI.
","I enjoy experimenting with different ways to express my ideas in writing.
","The work I submit for writing assignments feels like it is primarily my own.
","When I use AI tools, I still feel that the ideas in my writing belong to me.
","When I use AI tools, I sometimes feel less connected to the writing as “my” work.
","I worry that using AI tools might make my writing feel less genuine or authentic.
","I feel comfortable taking credit for assignments where I used AI tools.
","Optional:
Paste a short paragraph (4–8 sentences) from a recent school assignment where you used AI tools at some point in the writing process.
","Optional:
Paste a short paragraph (4–8 sentences) from a school assignment that you wrote without using any AI tools. Do not include any names of other people.","Optional:
Briefly describe how you used AI (if at all) in the AI-assisted paragraph above (for example: brainstorming, drafting, editing). Do not include any names of other people","I worry that I’m using AI on my assignments more than I should, and that I could get caught",How much have you been educated on AI use?,Column 25,Creativity Questions [Row 1]
12/5/2025 9:02:08,17,12th Grade,Female,2-3,,,2,1,5,3,2,5,3,2,5,4,5,4,3,5,4,"Political culture is a set of values or beliefs shared by a group of people that impact our behavior regarding politics. In most countries, this is pretty easy to pinpoint, for instance Japan values collectivism, conformity, and harmony. The US, however, is notoriously difficult to pinpoint a political culture; the reason is that countries like Japan tend not to have much immigration, but also we have freedom of opinion and heavily value individualism. When our political opinion is formed by family, school, religion, race, social class, and gender, having a very diverse free-speaking population in the US it can make sense why we would have a large amount of variety in political values as well.","The proposed law would affect fiscal policy through how much they would then have to spend on entitlement programs further cutting into discressionary spending. Entitlement spending is what the government is required by law to pay for instance medicare and social security. Whereas discressionary is what the government choses to spend money on like natioal defense and wellfare programs. Finally, the amount paid on the national debt interest rate each year is also apart of the budget. All three of these comprise fiscal policy given that fiscal policy is the spending of the the peoples taxes by the governement in a fiscal year which runs from October 1st to September 30th. This policy is decided every year by Congress and if they do not come up with a plan in time then the Governement shuts down. ","I only really used it for grammer,",,,,
12/8/2025 11:26:04,16,11th Grade,Male,2-3,Sometimes allowed depending on the assignment,Much better,2,2,1,1,3,5,4,3,4,4,5,5,5,5,3,,,,1,A lot,,
12/8/2025 11:26:36,16,11th Grade,Female,4-5,Mostly not tolerated,About the same,4,3,2,4,3,4,4,3,3,2,4,3,2,3,3,,,,2,Some,,
12/8/2025 11:27:27,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little better,4,1,3,3,2,4,4,5,1,1,5,5,4,4,5,"I have used AI tools during writing assignments in AP Lang. In this class we use ChatGPT and Class Companion to grade our essays and generate feedback. Even with the use of AI, our teacher still grades the assignments and gets the final say for your grade. I have also used AI to generate ideas for essays where we are given long periods of time to plan, but never when we are told not to. ",,,2,Some,,
12/8/2025 11:27:34,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little better,1,1,1,1,1,4,1,1,4,4,4,1,4,4,1,,"The last essay we wrote in AP Lang I didn't use any ideas for any part of the writing. I almost never use AI, and when I do it's mostly to just fact check certain things. I don't feel the need to use AI as I think it takes away from the practice that we (students) need in order to do better on future exams.",,1,Some,,
12/8/2025 11:27:45,16,11th Grade,Male,2-3,Sometimes allowed depending on the assignment,A little better,2,1,5,1,1,5,2,2,5,4,5,5,3,2,4,,,,1,Some,,
12/8/2025 11:27:50,17,11th Grade,Male,4-5,Sometimes allowed depending on the assignment,About the same,3,1,1,2,2,5,3,2,4,3,4,5,2,3,2,,,,1,A little,,
12/8/2025 11:27:54,16,11th Grade,Female,4-5,Sometimes allowed depending on the assignment,A little better,3,1,2,3,2,4,3,4,4,3,5,3,3,4,4,,,,2,Quite a bit,,
12/8/2025 11:28:33,17,11th Grade,Male,2-3,Sometimes allowed depending on the assignment,About the same,3,1,4,2,1,4,3,2,4,4,4,3,3,4,2,,,I like using AI i mainly use it to come up with practice test and to review on essays i right ,1,Quite a bit,,
12/8/2025 11:28:48,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,About the same,3,2,4,2,1,2,2,1,5,5,5,3,4,4,1,,,,2,Some,,
